Store,Product,Price,Rating,Number of Reviews,Calories
Insomnia Cookies (945 Westwood Boulevard),"10"" Deluxe Cookie Cake",44.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Triple Threat Cookie Cake,38.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Whole Milk,5.25,83.0,24,
Insomnia Cookies (945 Westwood Boulevard),2% Milk,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Oatly Chocolate Milk,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),DASANI® Water,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Oatly,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Diet Coke ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Monster Energy ®️,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Coca-Cola Zero Sugar ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Coca-Cola ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Sprite ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Powerade ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Fairlife® Strawberry Milk,5.25,,0,
Bluestone Lane Coffee - Westwood Blvd,Iced Latte,6.5,93.0,73,120
Bluestone Lane Coffee - Westwood Blvd,"Bacon, Egg & Cheese Croissant",12.1,91.0,92,408
Bluestone Lane Coffee - Westwood Blvd,Avocado Toast,10.65,90.0,116,256
Bluestone Lane Coffee - Westwood Blvd,Latte,5.6,90.0,84,120
Bluestone Lane Coffee - Westwood Blvd,Sunshine Burrito,12.1,87.0,89,440
Bluestone Lane Coffee - Westwood Blvd,Banana Bread Slice,5.5,100.0,7,
Bluestone Lane Coffee - Westwood Blvd,Granola Cup,7.5,85.0,14,320
Bluestone Lane Coffee - Westwood Blvd,Cappuccino,5.6,84.0,33,100
Bluestone Lane Coffee - Westwood Blvd,Banana Toast,8.0,97.0,34,392
Bluestone Lane Coffee - Westwood Blvd,Salmon Toast,11.45,94.0,38,272
Bluestone Lane Coffee - Westwood Blvd,Cold Brew,5.6,97.0,36,0
Bluestone Lane Coffee - Westwood Blvd,Avocado Toast with the Lot,13.25,88.0,52,320
Bluestone Lane Coffee - Westwood Blvd,Iced Matcha Latte,7.65,94.0,35,120
Bluestone Lane Coffee - Westwood Blvd,Chai Latte,5.6,100.0,23,145
Bluestone Lane Coffee - Westwood Blvd,Clean & Lean Protein Bowl,13.25,97.0,36,344
Bluestone Lane Coffee - Westwood Blvd,Hot Chocolate,5.6,100.0,3,135
Bluestone Lane Coffee - Westwood Blvd,Blueberry Muffin,5.75,100.0,23,
Bluestone Lane Coffee - Westwood Blvd,Maverick (Espresso Blend),18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Berry Pot,7.5,80.0,26,30
Bluestone Lane Coffee - Westwood Blvd,Granola Cup,7.5,85.0,14,320
Bluestone Lane Coffee - Westwood Blvd,Keen Greens Smoothie,11.45,85.0,28,290
Bluestone Lane Coffee - Westwood Blvd,Protein PB & Blueberry Smoothie,11.45,100.0,21,290
Bluestone Lane Coffee - Westwood Blvd,Almond Oatmeal,7.2,74.0,27,280
Bluestone Lane Coffee - Westwood Blvd,Berry Brekkie Smoothie,11.45,96.0,30,190
Bluestone Lane Coffee - Westwood Blvd,Vanilla Protein & PB Overnight Oats,7.5,75.0,8,360
Bluestone Lane Coffee - Westwood Blvd,Granola and Berries,8.05,,0,376
Bluestone Lane Coffee - Westwood Blvd,Protein Vanilla Smoothie,11.45,100.0,5,269
Bluestone Lane Coffee - Westwood Blvd,Banana,1.6,87.0,8,105
Bluestone Lane Coffee - Westwood Blvd,Almond Butter Chia Pudding,7.5,83.0,6,340
Bluestone Lane Coffee - Westwood Blvd,Protein Mocha Smoothie,12.1,100.0,5,340
Bluestone Lane Coffee - Westwood Blvd,Bondi Blue Smoothie by REEF,13.75,,0,
Bluestone Lane Coffee - Westwood Blvd,Djerf Avenue Lavender Matcha Latte,7.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Djerf Avenue Iced Lavender Matcha Latte,8.55,,0,
Bluestone Lane Coffee - Westwood Blvd,Cappuccino,5.6,84.0,33,100
Bluestone Lane Coffee - Westwood Blvd,Latte,5.6,90.0,84,120
Bluestone Lane Coffee - Westwood Blvd,Chai Latte,5.6,100.0,23,145
Bluestone Lane Coffee - Westwood Blvd,Hot Brew,4.55,80.0,21,0
Bluestone Lane Coffee - Westwood Blvd,Espresso,4.3,,0,0
Bluestone Lane Coffee - Westwood Blvd,Mocha,5.75,73.0,15,120
Bluestone Lane Coffee - Westwood Blvd,Flat White,5.6,80.0,20,100
Bluestone Lane Coffee - Westwood Blvd,Magic,5.3,100.0,4,90
Bluestone Lane Coffee - Westwood Blvd,Hot Milo,5.2,,0,190
Bluestone Lane Coffee - Westwood Blvd,Hot Chocolate,5.6,100.0,3,135
Bluestone Lane Coffee - Westwood Blvd,Macchiato,4.45,66.0,3,50
Bluestone Lane Coffee - Westwood Blvd,Long Black,4.45,,0,0
Bluestone Lane Coffee - Westwood Blvd,Bambiccino,1.8,,0,35
Bluestone Lane Coffee - Westwood Blvd,Piccolo,5.05,,0,75
Bluestone Lane Coffee - Westwood Blvd,Iced Latte,6.5,93.0,73,120
Bluestone Lane Coffee - Westwood Blvd,Cold Brew,5.6,97.0,36,0
Bluestone Lane Coffee - Westwood Blvd,Draught Flat White w/ Califia Oat Milk,6.8,88.0,26,120
Bluestone Lane Coffee - Westwood Blvd,Iced Chai Latte,6.8,90.0,22,290
Bluestone Lane Coffee - Westwood Blvd,Iced Mocha,6.8,100.0,12,270
Bluestone Lane Coffee - Westwood Blvd,Iced Magic,5.3,87.0,8,90
Bluestone Lane Coffee - Westwood Blvd,Cold Brew Float,6.5,,0,170
Bluestone Lane Coffee - Westwood Blvd,Iced Milo,5.75,,0,325
Bluestone Lane Coffee - Westwood Blvd,Aussie Iced Latte,6.9,,0,260
Bluestone Lane Coffee - Westwood Blvd,Draught Nitro Cold Brew,6.25,90.0,11,0
Bluestone Lane Coffee - Westwood Blvd,Aussie Iced Chocolate,6.8,,0,275
Bluestone Lane Coffee - Westwood Blvd,Iced Long Black,4.75,,0,0
Bluestone Lane Coffee - Westwood Blvd,Sunshine Burrito,12.1,87.0,89,440
Bluestone Lane Coffee - Westwood Blvd,Avocado Toast,10.65,90.0,116,256
Bluestone Lane Coffee - Westwood Blvd,"Bacon, Egg & Cheese Croissant",12.1,91.0,92,408
Bluestone Lane Coffee - Westwood Blvd,Clean & Lean Protein Bowl,13.25,97.0,36,344
Bluestone Lane Coffee - Westwood Blvd,"Bacon, Egg & Cheese Sandwich",12.1,88.0,9,496
Bluestone Lane Coffee - Westwood Blvd,Feel Good Salad,13.25,83.0,12,408
Bluestone Lane Coffee - Westwood Blvd,Avocado Toast with the Lot,13.25,88.0,52,320
Bluestone Lane Coffee - Westwood Blvd,Egg & Cheese w/ Greens Croissant,11.45,96.0,29,352
Bluestone Lane Coffee - Westwood Blvd,Salmon Toast,11.45,94.0,38,272
Bluestone Lane Coffee - Westwood Blvd,Egg & Cheese w/ Greens Sandwich,11.45,83.0,18,440
Bluestone Lane Coffee - Westwood Blvd,Peanut Butter & Berry Toast,8.0,71.0,14,296
Bluestone Lane Coffee - Westwood Blvd,Toast Bar,5.75,75.0,8,312
Bluestone Lane Coffee - Westwood Blvd,Banana Toast,8.0,97.0,34,392
Bluestone Lane Coffee - Westwood Blvd,Blueberry Muffin,5.75,100.0,23,
Bluestone Lane Coffee - Westwood Blvd,Banana Bread Slice,5.5,100.0,7,
Bluestone Lane Coffee - Westwood Blvd,Chocolate Croissant,5.75,100.0,11,340
Bluestone Lane Coffee - Westwood Blvd,Plain Croissant,5.2,84.0,19,300
Bluestone Lane Coffee - Westwood Blvd,Chocolate Chip Cookie,5.75,93.0,15,350
Bluestone Lane Coffee - Westwood Blvd,Almond Croissant,5.75,81.0,11,430
Bluestone Lane Coffee - Westwood Blvd,Iced Matcha Latte,7.65,94.0,35,120
Bluestone Lane Coffee - Westwood Blvd,Matcha Latte,6.5,84.0,13,60
Bluestone Lane Coffee - Westwood Blvd,Golden Latte,6.5,71.0,7,70
Bluestone Lane Coffee - Westwood Blvd,Iced Golden Latte,7.65,57.0,7,140
Bluestone Lane Coffee - Westwood Blvd,Lemongrass & Ginger,4.85,80.0,5,
Bluestone Lane Coffee - Westwood Blvd,Iced Melbourne Breakfast Tea,5.3,100.0,3,
Bluestone Lane Coffee - Westwood Blvd,Beet Latte,6.5,,0,60
Bluestone Lane Coffee - Westwood Blvd,Iced Spring Trellis Tea,5.3,100.0,6,
Bluestone Lane Coffee - Westwood Blvd,Iced Beet Latte,7.65,100.0,3,120
Bluestone Lane Coffee - Westwood Blvd,Sencha Green,4.85,,0,
Bluestone Lane Coffee - Westwood Blvd,Melbourne Breakfast,4.85,,0,
Bluestone Lane Coffee - Westwood Blvd,Chamomile,4.85,,0,
Bluestone Lane Coffee - Westwood Blvd,Earl Grey,4.85,,0,
Bluestone Lane Coffee - Westwood Blvd,Djerf Avenue Lavender Matcha Latte,7.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Djerf Avenue Iced Lavender Matcha Latte,8.55,,0,
Bluestone Lane Coffee - Westwood Blvd,Portsea Juice (12oz),10.6,100.0,9,70
Bluestone Lane Coffee - Westwood Blvd,Torquay Juice (12oz),10.6,100.0,6,110
Bluestone Lane Coffee - Westwood Blvd,Perricone Farms Orange Juice,6.9,,0,
Bluestone Lane Coffee - Westwood Blvd,Acqua Panna Spring Water 250ml,3.2,,0,0
Bluestone Lane Coffee - Westwood Blvd,Open Water (16oz),2.9,,0,0
Bluestone Lane Coffee - Westwood Blvd,Fitzroy Juice (12oz),10.6,,0,100
Bluestone Lane Coffee - Westwood Blvd,San Pellegrino Sparkling Water 250ml,3.2,100.0,4,0
Bluestone Lane Coffee - Westwood Blvd,Poppi Strawberry Lemon Soda 12 Fl Oz,4.05,,0,25
Bluestone Lane Coffee - Westwood Blvd,Poppi Cherry Limeade Soda 12 Fl Oz,4.05,,0,25
Bluestone Lane Coffee - Westwood Blvd,Poppi Cherry DocPop 12 Fl Oz,4.05,,0,25
Bluestone Lane Coffee - Westwood Blvd,Hot Brew Box (96oz),46.0,,0,10
Bluestone Lane Coffee - Westwood Blvd,Cold Brew Box (96oz),46.0,,0,10
Bluestone Lane Coffee - Westwood Blvd,Flagstaff (Filter Blend),18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Maverick (Espresso Blend),18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Califia Oat Milk 1QT,8.05,,0,110
Bluestone Lane Coffee - Westwood Blvd,Riptide Capsules,11.3,,0,
Bluestone Lane Coffee - Westwood Blvd,Decaf Colombian,18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Bayside (Blonde Roast) 12oz,18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Maverick Capsules,11.3,,0,
Bluestone Lane Coffee - Westwood Blvd,Riptide (Dark Roast) 12oz,18.4,,0,
Bluestone Lane Coffee - Westwood Blvd,Bayside Capsules,11.3,,0,
Bluestone Lane Coffee - Westwood Blvd,Decaf Capsules,11.3,,0,
Bluestone Lane Coffee - Westwood Blvd,Califia Almond Milk 1QT,8.05,,0,55
Bluestone Lane Coffee - Westwood Blvd,Bluestone Lane KeepCup,28.75,,0,
Meet Fresh - Westwood,Icy Grass Jelly Signature,10.45,95.0,122,
Meet Fresh - Westwood,Taro Ball Tofu Pudding,9.0,76.0,17,
Meet Fresh - Westwood,Rice Ball Tofu Pudding,8.5,92.0,26,
Meet Fresh - Westwood,Pudding & Q Mochi Milk Shaved Ice (L),13.75,100.0,5,
Meet Fresh - Westwood,Double Taro Signature,10.45,86.0,38,
Meet Fresh - Westwood,Q Mochi Milk Shaved Ice (L),13.75,100.0,3,
Meet Fresh - Westwood,Q Mochi & Caramel Pudding Combo,6.25,100.0,9,
Meet Fresh - Westwood,Hot Red Bean Soup Signature,10.45,97.0,37,
Meet Fresh - Westwood,Icy Taro Ball Combo B,10.45,100.0,6,
Meet Fresh - Westwood,Q Mochi Set,7.25,100.0,5,
Meet Fresh - Westwood,Icy Taro Ball Signature,10.45,83.0,6,
Meet Fresh - Westwood,Peanut Tofu Pudding,8.5,100.0,16,
Meet Fresh - Westwood,Red Bean Milk Shaved Ice (L),13.75,,0,
Meet Fresh - Westwood,Black Sugar Boba Fresh Milk,7.0,83.0,12,
Meet Fresh - Westwood,Icy Grass Jelly Signature,10.45,95.0,122,
Meet Fresh - Westwood,Double Taro Signature,10.45,86.0,38,
Meet Fresh - Westwood,Icy Taro Ball Signature,10.45,83.0,6,
Meet Fresh - Westwood,Hot Red Bean Soup Signature,10.45,97.0,37,
Meet Fresh - Westwood,Hot Grass Jelly Signature ,10.45,,0,
Meet Fresh - Westwood,Hot Almond Soup Signature,10.45,88.0,9,
Meet Fresh - Westwood,Icy Taro Ball Combo B,10.45,100.0,6,
Meet Fresh - Westwood,Icy Taro Ball Combo A,10.45,,0,
Meet Fresh - Westwood,Icy Grass Jelly Combo B,10.45,,0,
Meet Fresh - Westwood,Icy Grass Jelly Combo A,10.45,100.0,3,
Meet Fresh - Westwood,Hot Grass Jelly Combo B,10.45,100.0,3,
Meet Fresh - Westwood,Hot Grass Jelly Combo A,10.45,,0,
Meet Fresh - Westwood,Hot Red Bean Soup Combo A,10.45,,0,
Meet Fresh - Westwood,Hot Red Bean Soup Combo B,10.45,,0,
Meet Fresh - Westwood,Hot Almond Soup Combo B,10.45,100.0,4,
Meet Fresh - Westwood,Hot Almond Soup Combo A,10.45,,0,
Meet Fresh - Westwood,Q Mochi Milk Shaved Ice (L),13.75,100.0,3,
Meet Fresh - Westwood,Pudding & Q Mochi Milk Shaved Ice (L),13.75,100.0,5,
Meet Fresh - Westwood,Black Sugar Boba Milky Shaved Ice (L),13.75,,0,
Meet Fresh - Westwood,Taro Paste Volcano Shaved Ice (L),15.85,66.0,3,
Meet Fresh - Westwood,Red Bean Milk Shaved Ice (L),13.75,,0,
Meet Fresh - Westwood,Rice Ball Tofu Pudding,8.5,92.0,26,
Meet Fresh - Westwood,Taro Ball Tofu Pudding,9.0,76.0,17,
Meet Fresh - Westwood,Peanut Tofu Pudding,8.5,100.0,16,
Meet Fresh - Westwood,Jasmine Green Tea,4.5,,0,
Meet Fresh - Westwood,Oolong Tea,4.5,100.0,7,
Meet Fresh - Westwood,Black Tea,4.5,,0,
Meet Fresh - Westwood,Herbal Tea,5.25,66.0,6,
Meet Fresh - Westwood,Fresh Milk & Grass Jelly Herbal Tea,7.0,100.0,14,
Meet Fresh - Westwood,Miss You Drink,7.0,,0,
Meet Fresh - Westwood,Fresh Milk Herbal Tea,6.5,100.0,3,
Meet Fresh - Westwood,Black Sugar Boba Milk Tea,6.0,90.0,22,
Meet Fresh - Westwood,Boba Milk Tea,6.0,92.0,13,
Meet Fresh - Westwood,Jasmine Milk Tea,5.25,,0,
Meet Fresh - Westwood,Mini Q Milk Tea,6.25,100.0,4,
Meet Fresh - Westwood,Oolong Milk Tea,5.25,100.0,21,
Meet Fresh - Westwood,Caramel Pudding Milk Tea,6.25,,0,
Meet Fresh - Westwood,Grass Jelly Milk Tea,6.0,100.0,6,
Meet Fresh - Westwood,Black Milk Tea,5.25,89.0,19,
Meet Fresh - Westwood,Black Sugar Boba Fresh Milk,7.0,83.0,12,
Meet Fresh - Westwood,Fresh Milk Jasmine Green Tea,6.0,,0,
Meet Fresh - Westwood,Taro Paste Fresh Milk Oolong Tea,7.0,,0,
Meet Fresh - Westwood,Taro Paste Fresh Milk Black Tea,7.0,83.0,6,
Meet Fresh - Westwood,Boba Fresh Milk Tea,6.5,100.0,5,
Meet Fresh - Westwood,Fresh Milk Black Tea,6.0,100.0,8,
Meet Fresh - Westwood,Taro Paste Fresh Milk Jasmine Green Tea,7.0,,0,
Meet Fresh - Westwood,Fresh Milk Oolong Tea,6.0,87.0,8,
Meet Fresh - Westwood,Winter Melon Tea,5.25,89.0,19,
Meet Fresh - Westwood,Grass Jelly Winter Melon Tea,6.0,80.0,5,
Meet Fresh - Westwood,QQ Winter Melon Tea,6.75,100.0,3,
Meet Fresh - Westwood,Mini Q Winter Melon Tea ,6.5,,0,
Meet Fresh - Westwood,Lemon Winter Melon Tea,6.0,100.0,3,
Meet Fresh - Westwood,Fresh Milk Winter Melon Tea ,6.5,,0,
Meet Fresh - Westwood,Fluffy Jasmine Green Tea,6.0,,0,
Meet Fresh - Westwood,Fluffy Winter Melon Tea,6.5,,0,
Meet Fresh - Westwood,Fluffy Mini Q Winter Melon Tea,7.5,100.0,4,
Meet Fresh - Westwood,Fluffy Black Tea,6.0,,0,
Meet Fresh - Westwood,Fluffy Herbal Tea,6.5,,0,
Meet Fresh - Westwood,Fluffy Oolong Tea,6.0,75.0,4,
Meet Fresh - Westwood,Mango & Passion Fruit Green Tea,6.0,100.0,11,
Meet Fresh - Westwood,Passion Fruit Green Tea,5.25,90.0,11,
Meet Fresh - Westwood,Mango Green Tea,5.25,100.0,11,
Meet Fresh - Westwood,Orange & Passion Fruit Green Tea,6.0,100.0,3,
Meet Fresh - Westwood,Mango & Orange Green Tea,6.0,,0,
Meet Fresh - Westwood,Hot Boba Almond Drink,6.5,,0,
Meet Fresh - Westwood,Hot Almond Drink,6.0,71.0,7,
Meet Fresh - Westwood,Hot Mini Q Almond Drink,7.0,,0,
Meet Fresh - Westwood,Q Mochi Set,7.25,100.0,5,
Meet Fresh - Westwood,Q Mochi & Caramel Pudding Combo,6.25,100.0,9,
Meet Fresh - Westwood,Q Mochi & Almond Pudding Combo,6.25,90.0,11,
Meet Fresh - Westwood,Red Bean Almond Pudding,3.25,91.0,12,
Meet Fresh - Westwood,Boba Caramel Pudding,3.25,100.0,13,
Meet Fresh - Westwood,Mung Bean Cakes,7.25,84.0,13,
Corner Bakery Cafe (1019 S Westwood Blvd),Choose Two,17.35,80.0,20,500
Corner Bakery Cafe (1019 S Westwood Blvd),Uptown Turkey Avocado,16.36,100.0,3,730
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Noodle Soup,8.67,80.0,5,190
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Pomodori,17.35,100.0,4,800
Corner Bakery Cafe (1019 S Westwood Blvd),Bacon & Cheddar Panini,12.02,,0,620
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Carbonara,13.75,,0,800
Corner Bakery Cafe (1019 S Westwood Blvd),Cheddar Broccoli Soup,8.67,,0,310
Corner Bakery Cafe (1019 S Westwood Blvd),Mac & Cheese,11.02,,0,770
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Pesto,17.1,,0,750
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Orzo Soup,8.67,,0,360
Corner Bakery Cafe (1019 S Westwood Blvd),Loaded Baked Potato Soup,8.67,,0,430
Corner Bakery Cafe (1019 S Westwood Blvd),Club,15.36,66.0,3,830
Corner Bakery Cafe (1019 S Westwood Blvd),Pesto Cavatappi,13.75,,0,750
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Berry & Yogurt Parfait,9.66,100.0,7,370
Corner Bakery Cafe (1019 S Westwood Blvd),"Sausage, Egg & Cheddar Breakfast Wrap",12.02,,0,540
Corner Bakery Cafe (1019 S Westwood Blvd),Meatball,17.1,,0,940
Corner Bakery Cafe (1019 S Westwood Blvd),Chopped,13.75,,0,420
Corner Bakery Cafe (1019 S Westwood Blvd),Chicken Rosa Pasta,14.37,100.0,4,
Corner Bakery Cafe (1019 S Westwood Blvd),Shrimp Scampi Linguine,16.36,100.0,3,690
Corner Bakery Cafe (1019 S Westwood Blvd),Passionfruit Arnold Palmer,4.58,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Passionfruit Iced Tea,4.58,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Passionfruit Lemonade,6.56,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Choco Hazelnut Berries n Cream Pancakes,17.97,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Choco Hazelnut Banana Bundt,6.19,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Muffins,4.95,100.0,5,
Corner Bakery Cafe (1019 S Westwood Blvd),Chocolate Croissant,6.31,71.0,7,
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Rush,8.3,,0,410
Corner Bakery Cafe (1019 S Westwood Blvd),Cinnamon Roll,5.69,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Power Breakfast Egg Bowl,14.99,90.0,11,
Corner Bakery Cafe (1019 S Westwood Blvd),Anaheim Scrambler,15.74,100.0,4,600
Corner Bakery Cafe (1019 S Westwood Blvd),Bacon Avocado Egg Bowl,14.37,100.0,3,
Corner Bakery Cafe (1019 S Westwood Blvd),All American Scrambler,14.37,,0,400
Corner Bakery Cafe (1019 S Westwood Blvd),Buttermilk Pancakes,14.99,,0,630
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Rush,8.3,,0,410
Corner Bakery Cafe (1019 S Westwood Blvd),Garden Gate Scrambler (V),11.64,,0,370
Corner Bakery Cafe (1019 S Westwood Blvd),Anaheim Panini,11.64,80.0,5,590
Corner Bakery Cafe (1019 S Westwood Blvd),Avocado & Spinach Breakfast Wrap (V),10.4,33.0,3,500
Corner Bakery Cafe (1019 S Westwood Blvd),Bacon & Cheddar Panini,12.02,,0,620
Corner Bakery Cafe (1019 S Westwood Blvd),"Bacon, Egg & Cheddar Breakfast Wrap",14.62,,0,570
Corner Bakery Cafe (1019 S Westwood Blvd),BBLT & Egg Sandwich,14.37,,0,840
Corner Bakery Cafe (1019 S Westwood Blvd),"Sausage, Egg & Cheddar Breakfast Wrap",12.02,,0,540
Corner Bakery Cafe (1019 S Westwood Blvd),Bacon & Egg Croissant,12.39,,0,640
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Berry & Yogurt Parfait,9.66,100.0,7,370
Corner Bakery Cafe (1019 S Westwood Blvd),Side of Eggs,5.94,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Side of Bacon,5.69,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Side of Buttermilk Pancakes,7.68,,0,390
Corner Bakery Cafe (1019 S Westwood Blvd),Family Meals,61.99,,0,2000
Corner Bakery Cafe (1019 S Westwood Blvd),Harvest,13.75,100.0,3,400
Corner Bakery Cafe (1019 S Westwood Blvd),Turkey Avocado Cobb,13.75,100.0,6,
Corner Bakery Cafe (1019 S Westwood Blvd),Chopped,13.75,,0,420
